SMILES,id,QM,Reserve1,NMR,Reserve2 
C(CCCC)Cl,2,1.020225637,0,-1.051842134,0 
CCCOCCCN,6,0.868284826,0,-0.860208852,0 
CC(C)(C)Cl,2,0.994580136,0,-0.954367128,0 
C1CC=CC1,1,0.973150334,0,-0.989561317,0 
C([C@H](CCCC)N)O,1,0.607614115,0,-0.614955105,0 
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,5,0.62359864,0,-0.545303777,0 
CCN(=O)=O,1,0.301800296,0,-0.283650643,0 
c1c(nc[nH]1)CCN,1,-0.966773741,0,0.896736666,0 
c12c([N]C=N[C]1N)[nH]cn2,1,-0.546609092,0,0.603943124,0 
C1CCC(=O)CC1,3,-2.324053108,0,2.30155603,0 
C1CCC=CC1,3,-0.790592661,0,0.755591384,0 
c1ccc(cc1)N(=O)=O,2,-0.676066177,0,0.685571531,0 
c1c(cccc1)C,0,-0.756867071,0,0.805342332,0 
C(=C\Cl)/Cl,0,-0.741936471,0,0.626607444,0 
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,3,1.035331891,0,-1.005960704,0 
n1ccccn1,1,-1.196178019,0,1.221776194,0 
CC(C)C#N,2,1.248751644,0,-1.221916671,0 
C(=O)N(C)C,4,0.972272063,0,-0.924885085,0 
C([C@H](CCCC)N)O,2,0.969285943,0,-0.967449785,0 
C1CC(=O)C=CC1,1,0.869514404,0,-0.886189903,0 
C=C(C=C)C,2,-0.99698625,0,0.986288373,0 
OCCCCCCN,2,0.976487762,0,-0.986060325,0 
c12c(cccc1)cc[nH]2,0,-0.866299586,0,0.908529483,0 
C(=CCBr)(C)C,4,1.155654962,0,-1.11541279,0 
C(C)(OC)OC,0,-0.253969332,0,0.275402603,0 
C1COCOC1,3,-0.082882221,0,0.147155715,0 
c1c(cccc1)N(C)C,7,0.89024159,0,-0.849337349,0 
c1cccs1,1,-0.714534429,0,0.744535618,0 
CC(C)(C)C#C,1,1.056761694,0,-1.087957637,0 
C1CC(=O)C=CC1,4,-0.766879356,0,0.801657076,0 
C1COC(=O)O1,3,-1.259413501,0,1.282951433,0 
CC(C)(C)C#C,4,-0.159116109,0,0.118042197,0 
CN(=O)=O,0,0.445485364,0,-0.429218232,0 
C1(=C(C(=O)OC1)Cl)Cl,0,-1.318081977,0,1.153598968,0 
C(=CCBr)(C)C,1,-0.662365156,0,0.637294685,0 
C(=O)(C)N(C)C,5,1.035156237,0,-0.948839245,0 
CCCOCCCN,5,0.951720531,0,-0.974083245,0 
CC(C)(C)C#N,1,1.023563066,0,-1.071926776,0 
c1cccc(n1)NN,1,-0.461241191,0,0.511443213,0 
c1scc(C)n1,3,-1.224282678,0,1.23817558,0 
C=CC(C)(C)C,2,0.931695962,0,-0.96910815,0 
c1ccc(s1)C,1,-0.702414294,0,0.747483822,0 
c1(ccn(n1)C)N,5,0.917643633,0,-0.883057436,0 
c1nncn1N,0,-1.071814904,0,1.065152839,0 
OCCCCNCC,1,0.434243501,0,-0.44709172,0 
c1scc(C)n1,4,1.285112047,0,-1.281065021,0 
C(=O)(C#N)OCC,5,0.399815294,0,-0.384995167,0 
C(=O)(C)N(C)C,0,-1.47177933,0,1.542393415,0 
C=C(C)Cl,0,-0.476523099,0,0.485277899,0 
C(=O)N(C)C,3,1.085393315,0,-1.01701647,0 
C=CC(C)(C)C,3,1.079772383,0,-1.048341141,0 
CC(C)(C)C#N,4,-0.821507786,0,0.729794596,0 
c1c(cccc1)C,1,-0.965895471,0,0.947224665,0 
c12c(cccc1)cc[nH]2,2,-0.591400892,0,0.632135327,0 
C(C)SCC,3,0.988080934,0,-1.120203622,0 
OC[C@@H](N)CC(C)C,5,1.121929371,0,-1.134391855,0 
CC(C)(C)NCCO,1,0.684023656,0,-0.664890315,0 
c12c([C](N=C[N]1)N)cn[nH]2,1,-0.219189817,0,0.244999246,0 
c1cc(ccc1)Br,1,-0.806577186,0,0.832981747,0 
C(CC(C)C)Br,0,0.824195642,0,-0.999880032,0 
c1ccc(c(c1)N)Br,0,-0.757394033,0,0.772912084,0 
C1CC=CC1=O,4,-2.235699087,0,2.287736322,0 
OC[C@@H](N)CC(C)C,1,0.400342256,0,-0.359751167,0 
c1c(nccn1)C,0,-1.044939824,0,1.078972546,0 
C=C(Cl)C,3,1.11420059,0,-1.110069169,0 
c1ccccn1,0,-1.149805332,0,1.172762297,0 
C1CC=CC1=O,0,0.948558757,0,-0.963211741,0 
C(CCCC)Cl,1,0.925899376,0,-0.990482631,0 
CCCOCCCN,0,1.430904964,0,-1.39475515,0 
C=C(C=C)C,1,-1.093069052,0,1.034933744,0 
C(CCCC)Cl,3,1.133522543,0,-1.182115913,0 
C=C(C=C)C,3,-0.510424344,0,0.561194161,0 
c12c(c(=N)n(cn1)C)nc[nH]2,1,-0.63355788,0,0.594177197,0 
C(CC(C)C)Br,1,0.801360607,0,-0.820408094,0 
c1cccc(n1)NN,0,-1.122930252,0,1.12909202,0 
c1(nc(cc(n1)N)N)N,3,0.254373684,0,-0.211972425,0 
C1CC=CC1,2,-0.854003798,0,0.819530565,0 
c1ccc(cc1)N(=O)=O,0,-0.907051341,0,0.893788462,0 
c1c(nc[nH]1)CCN,6,0.766054129,0,-0.821145145,0 
c1(nc(cc(n1)N)N)N,0,-1.359360694,0,1.412672424,0 
c1(c(nc[nH]1)C#N)C#N,5,-0.547838671,0,0.455795856,0 
NCCCOC(C)C,1,0.852300301,0,-0.867210838,0 
c1n[nH]c(=O)[nH]1,3,-1.163155045,0,1.272816981,0 
C1COCOC1,0,1.085217661,0,-1.099197666,0 
OCCCCNCC,7,1.323580298,0,-1.318654626,0 
C1CC(=O)C=CC1,5,-1.282424191,0,1.184923639,0 
c1ccc(o1)C=O,0,-1.115201471,0,1.148071085,0 
c12c(cccc1)cc[nH]2,1,-0.727005871,0,0.761119267,0 
OCCNCCCC,1,0.469023016,0,-0.476020975,0 
C1COCOC1,1,0.396829174,0,-0.3566187,0 
C1CCOCC1,2,0.3638062,0,-0.322345825,0 
C1CCC(=O)C1,2,0.861785623,0,-0.886189903,0 
c12c([C](N=C[N]1)N)cn[nH]2,4,-1.265561396,0,1.261945478,0 
c1c(nccn1)C,4,-1.004539377,0,1.024615029,0 
C(=CCBr)(C)C,5,1.272816258,0,-1.267429575,0 
n1c(c(nc(n1)N)C)C,1,-1.152440144,0,1.12043167,0 
C1CC=CC1=O,2,-1.547661909,0,1.454868598,0 
OC[C@@H](N)[C@@H](C)CC,5,1.365385978,0,-1.309810013,0 
c1ccc(c(c1)N)Br,3,-0.566633661,0,0.421522981,0 
C(=CC)(C)C,1,-0.588941734,0,0.598968029,0 
c1(cc([nH]n1)C)N,0,-1.218661746,0,1.247941507,0 
c12c([nH]cn2)[N]C=N[CH]1,8,-1.122051981,0,1.091502415,0 
c1ccc(o1)C=O,3,-1.169654247,0,1.234674588,0 
c1cncc(n1)N,1,-0.837141003,0,0.881442856,0 
C[C@@H](C#N)Cl,1,1.168126404,0,-1.158898804,0 
C1C(=O)O[C]1[CH2],4,-1.200218064,0,1.130750385,0 
C(=CCl)(C)C,3,1.186218778,0,-1.255452495,0 
OC[C@@H](N)[C@@H](C)CC,4,0.803995418,0,-0.88729548,0 
C(=O)(C)C#C,0,-1.810616123,0,1.796676038,0 
C(C#N)C#N,0,1.429499731,0,-1.428475237,0 
c1c(cccc1)C,4,-0.682214071,0,0.74269299,0 
